Mes,A¤o,Estado Origen,Estado Destino,Ciudad Origen,Ciudad Destino,Compa¤ia Transportadora,Tipo de Transporte,Tipo de combustible usado,Tipo de Movimiento,Costo(Pesos),Carga Maxima(TON),Rendimiento por litro,Costo del diesel,Tiempo en Transito,
Septiembre,2014,PL,CO,PUEBLA,RAMOS ARIZPE,"AUTOTRANSPORTES DASA, S.A. DE C.V.",48FT/53FT,Diesel ,Redondo,"$18,000.00",22,2.55,$13.61,18,
Septiembre,2014,PL,CO,PUEBLA,RAMOS ARIZPE,"AUTOTRANSPORTES DASA, S.A. DE C.V.",48FT/53FT,Diesel ,Redondo,"$19,000.00",22,2.55,$13.61,18,
Septiembre,2014,PL,CO,PUEBLA,RAMOS ARIZPE,"AUTOTRANSPORTES DASA, S.A. DE C.V.",48FT/53FT,Diesel ,Redondo,"$20,000.00",22,2.55,$13.61,20,
Septiembre,2014,PL,CO,PUEBLA,RAMOS ARIZPE,"AUTOTRANSPORTES DASA, S.A. DE C.V.",48FT/53FT,Diesel ,Redondo,"$17,560.00",22,2.55,$13.61,18,
Septiembre,2014,QO,CO,QUERETARO,RAMOS ARIZPE,"AUTOTRANSPORTES DASA, S.A. DE C.V.",48FT/53FT,Diesel ,Redondo,"$12,000.00",22,2.55,$13.61,12,
Septiembre,2014,QO,CO,QUERETARO,RAMOS ARIZPE,"AUTOTRANSPORTES DASA, S.A. DE C.V.",48FT/53FT,Diesel ,Redondo,"$14,000.00",22,2.55,$13.61,12,
Septiembre,2014,SP,CO,SAN LUIS POTOSI,RAMOS ARIZPE,"AUTOTRANSPORTES DASA, S.A. DE C.V.",48FT/53FT,Diesel ,Redondo,"$8,000.00",22,2.55,$13.61,8,
Septiembre,2014,CO,CO,TORREON,RAMOS ARIZPE,"AUTOTRANSPORTES DASA, S.A. DE C.V.",48FT/53FT,Diesel ,Redondo,"$7,030.00",22,2.55,$13.61,5,
Septiembre,2014,CO,CO,RAMOS ARIZPE,RAMOS ARIZPE,"AUTOTRANSPORTES DASA, S.A. DE C.V.",48FT/53FT,Diesel ,Redondo,"$1,000.00",22,2.55,$13.61,1,
Septiembre,2014,CO,CO,RAMOS ARIZPE,RAMOS ARIZPE,"AUTOTRANSPORTES DASA, S.A. DE C.V.",48FT/53FT,Diesel ,Redondo,"$1,500.00",22,2.55,$13.61,1,
Septiembre,2014,CO,CO,SALTILLO,RAMOS ARIZPE,"AUTOTRANSPORTES DASA, S.A. DE C.V.",48FT/53FT,Diesel ,Redondo,"$2,600.00",22,2.55,$13.61,1.5,
Septiembre,2014,CO,CO,RAMOS ARIZPE,RAMOS ARIZPE,"AUTOTRANSPORTES DASA, S.A. DE C.V.",48FT/53FT,Diesel ,Redondo,"$3,800.00",22,2.55,$13.61,1,
Septiembre,2014,PL,GT,PUEBLA,SILAO,"AUTOTRANSPORTES DASA, S.A. DE C.V.",48FT/53FT,Diesel ,Redondo,"$11,450.00",22,2.55,$13.61,8,
Septiembre,2014,PL,GT,PUEBLA,SILAO,"AUTOTRANSPORTES DASA, S.A. DE C.V.",48FT/53FT,Diesel ,Redondo,"$12,500.00",22,2.55,$13.61,8,
Septiembre,2014,GT,SP,SILAO,SAN LUIS POTOSI,"AUTOTRANSPORTES DASA, S.A. DE C.V.",48FT/53FT,Diesel ,Redondo,"$5,300.00",22,2.55,$13.61,4,
Septiembre,2014,QO,GT,QUERETARO,SILAO,"AUTOTRANSPORTES DASA, S.A. DE C.V.",48FT/53FT,Diesel ,Redondo,"$5,000.00",22,2.55,$13.61,4,
Septiembre,2014,CO,GT,RAMOS ARIZPE,SILAO,"AUTOTRANSPORTES DASA, S.A. DE C.V.",48FT/53FT,Diesel ,Redondo,"$13,050.00",22,2.55,$13.61,12,
Septiembre,2014,CO,GT,RAMOS ARIZPE,SILAO,"AUTOTRANSPORTES DASA, S.A. DE C.V.",48FT/53FT,Diesel ,Redondo,"$11,500.00",22,2.55,$13.61,12,
Octubre,2014,PL,CO,PUEBLA,RAMOS ARIZPE,"AUTOTRANSPORTES DASA, S.A. DE C.V.",48FT/53FT,Diesel ,Redondo,"$19,000.00",22,2.55,$13.72,18,
Octubre,2014,PL,CO,PUEBLA,RAMOS ARIZPE,"AUTOTRANSPORTES DASA, S.A. DE C.V.",48FT/53FT,Diesel ,Redondo,"$20,000.00",22,2.55,$13.72,18,
Octubre,2014,PL,CO,PUEBLA,RAMOS ARIZPE,"AUTOTRANSPORTES DASA, S.A. DE C.V.",48FT/53FT,Diesel ,Redondo,"$18,000.00",22,2.55,$13.72,18,
Octubre,2014,PL,CO,PUEBLA,RAMOS ARIZPE,"AUTOTRANSPORTES DASA, S.A. DE C.V.",48FT/53FT,Diesel ,Redondo,"$17,560.00",22,2.55,$13.72,18,
Octubre,2014,QO,CO,QUERETARO,RAMOS ARIZPE,"AUTOTRANSPORTES DASA, S.A. DE C.V.",48FT/53FT,Diesel ,Redondo,"$12,000.00",22,2.55,$13.72,12,
Octubre,2014,QO,CO,QUERETARO,RAMOS ARIZPE,"AUTOTRANSPORTES DASA, S.A. DE C.V.",48FT/53FT,Diesel ,Redondo,"$14,000.00",22,2.55,$13.72,12,
Octubre,2014,SP,CO,SAN LUIS POTOSI,RAMOS ARIZPE,"AUTOTRANSPORTES DASA, S.A. DE C.V.",48FT/53FT,Diesel ,Redondo,"$8,000.00",22,2.55,$13.72,8,
Octubre,2014,CO,CO,TORREON,RAMOS ARIZPE,"AUTOTRANSPORTES DASA, S.A. DE C.V.",48FT/53FT,Diesel ,Redondo,"$7,030.00",22,2.55,$13.72,5,
Octubre,2014,CO,CO,RAMOS ARIZPE,RAMOS ARIZPE,"AUTOTRANSPORTES DASA, S.A. DE C.V.",48FT/53FT,Diesel ,Redondo,"$1,000.00",22,2.55,$13.72,1,
Octubre,2014,CO,CO,RAMOS ARIZPE,RAMOS ARIZPE,"AUTOTRANSPORTES DASA, S.A. DE C.V.",48FT/53FT,Diesel ,Redondo,"$1,500.00",22,2.55,$13.72,1,
Octubre,2014,CO,CO,SALTILLO,RAMOS ARIZPE,"AUTOTRANSPORTES DASA, S.A. DE C.V.",48FT/53FT,Diesel ,Redondo,"$2,600.00",22,2.55,$13.72,1.5,
Octubre,2014,CO,CO,RAMOS ARIZPE,RAMOS ARIZPE,"AUTOTRANSPORTES DASA, S.A. DE C.V.",48FT/53FT,Diesel ,Redondo,"$3,800.00",22,2.55,$13.72,1,
Octubre,2014,PL,GT,PUEBLA,SILAO,"AUTOTRANSPORTES DASA, S.A. DE C.V.",48FT/53FT,Diesel ,Redondo,"$11,450.00",22,2.55,$13.72,8,
Octubre,2014,PL,GT,PUEBLA,SILAO,"AUTOTRANSPORTES DASA, S.A. DE C.V.",48FT/53FT,Diesel ,Redondo,"$12,500.00",22,2.55,$13.72,8,
Octubre,2014,GT,SP,SILAO,SAN LUIS POTOSI,"AUTOTRANSPORTES DASA, S.A. DE C.V.",48FT/53FT,Diesel ,Redondo,"$5,300.00",22,2.55,$13.72,4,
Octubre,2014,QO,GT,QUERETARO,SILAO,"AUTOTRANSPORTES DASA, S.A. DE C.V.",48FT/53FT,Diesel ,Redondo,"$5,000.00",22,2.55,$13.72,4,
Octubre,2014,CO,GT,RAMOS ARIZPE,SILAO,"AUTOTRANSPORTES DASA, S.A. DE C.V.",48FT/53FT,Diesel ,Redondo,"$13,050.00",22,2.55,$13.72,12,
Octubre,2014,CO,GT,RAMOS ARIZPE,SILAO,"AUTOTRANSPORTES DASA, S.A. DE C.V.",48FT/53FT,Diesel ,Redondo,"$11,500.00",22,2.55,$13.72,12,
Noviembre,2014,PL,CO,PUEBLA,RAMOS ARIZPE,"AUTOTRANSPORTES DASA, S.A. DE C.V.",48FT/53FT,Diesel ,Redondo,"$19,000.00",22,2.55,$13.83,18,
Noviembre,2014,PL,CO,PUEBLA,RAMOS ARIZPE,"AUTOTRANSPORTES DASA, S.A. DE C.V.",48FT/53FT,Diesel ,Redondo,"$20,000.00",22,2.55,$13.83,20,
Noviembre,2014,PL,CO,PUEBLA,RAMOS ARIZPE,"AUTOTRANSPORTES DASA, S.A. DE C.V.",48FT/53FT,Diesel ,Redondo,"$18,000.00",22,2.55,$13.83,18,
Noviembre,2014,PL,CO,PUEBLA,RAMOS ARIZPE,"AUTOTRANSPORTES DASA, S.A. DE C.V.",48FT/53FT,Diesel ,Redondo,"$17,560.00",22,2.55,$13.83,18,
Noviembre,2014,QO,CO,QUERETARO,RAMOS ARIZPE,"AUTOTRANSPORTES DASA, S.A. DE C.V.",48FT/53FT,Diesel ,Redondo,"$12,000.00",22,2.55,$13.83,12,
Noviembre,2014,QO,CO,QUERETARO,RAMOS ARIZPE,"AUTOTRANSPORTES DASA, S.A. DE C.V.",48FT/53FT,Diesel ,Redondo,"$14,000.00",22,2.55,$13.83,12,
Noviembre,2014,SP,CO,SAN LUIS POTOSI,RAMOS ARIZPE,"AUTOTRANSPORTES DASA, S.A. DE C.V.",48FT/53FT,Diesel ,Redondo,"$8,000.00",22,2.55,$13.83,8,
Noviembre,2014,CO,CO,TORREON,RAMOS ARIZPE,"AUTOTRANSPORTES DASA, S.A. DE C.V.",48FT/53FT,Diesel ,Redondo,"$7,030.00",22,2.55,$13.83,5,
Noviembre,2014,CO,CO,RAMOS ARIZPE,RAMOS ARIZPE,"AUTOTRANSPORTES DASA, S.A. DE C.V.",48FT/53FT,Diesel ,Redondo,"$1,000.00",22,2.55,$13.83,1,
Noviembre,2014,CO,CO,RAMOS ARIZPE,RAMOS ARIZPE,"AUTOTRANSPORTES DASA, S.A. DE C.V.",48FT/53FT,Diesel ,Redondo,"$1,500.00",22,2.55,$13.83,1,
Noviembre,2014,CO,CO,SALTILLO,RAMOS ARIZPE,"AUTOTRANSPORTES DASA, S.A. DE C.V.",48FT/53FT,Diesel ,Redondo,"$2,600.00",22,2.55,$13.83,1.5,
Noviembre,2014,CO,CO,RAMOS ARIZPE,RAMOS ARIZPE,"AUTOTRANSPORTES DASA, S.A. DE C.V.",48FT/53FT,Diesel ,Redondo,"$3,800.00",22,2.55,$13.83,1,
Noviembre,2014,PL,GT,PUEBLA,SILAO,"AUTOTRANSPORTES DASA, S.A. DE C.V.",48FT/53FT,Diesel ,Redondo,"$11,450.00",22,2.55,$13.83,8,
Noviembre,2014,PL,GT,PUEBLA,SILAO,"AUTOTRANSPORTES DASA, S.A. DE C.V.",48FT/53FT,Diesel ,Redondo,"$12,500.00",22,2.55,$13.83,8,
Noviembre,2014,GT,SP,SILAO,SAN LUIS POTOSI,"AUTOTRANSPORTES DASA, S.A. DE C.V.",48FT/53FT,Diesel ,Redondo,"$5,300.00",22,2.55,$13.83,4,
Noviembre,2014,QO,GT,QUERETARO,SILAO,"AUTOTRANSPORTES DASA, S.A. DE C.V.",48FT/53FT,Diesel ,Redondo,"$5,000.00",22,2.55,$13.83,4,
Noviembre,2014,CO,GT,RAMOS ARIZPE,SILAO,"AUTOTRANSPORTES DASA, S.A. DE C.V.",48FT/53FT,Diesel ,Redondo,"$13,050.00",22,2.55,$13.83,12,
Noviembre,2014,CO,GT,RAMOS ARIZPE,SILAO,"AUTOTRANSPORTES DASA, S.A. DE C.V.",48FT/53FT,Diesel ,Redondo,"$11,500.00",22,2.55,$13.83,12,
Diciembre,2014,PL,CO,PUEBLA,RAMOS ARIZPE,"AUTOTRANSPORTES DASA, S.A. DE C.V.",48FT/53FT,Diesel ,Redondo,"$19,000.00",22,2.55,$13.94,18,
Diciembre,2014,PL,CO,PUEBLA,RAMOS ARIZPE,"AUTOTRANSPORTES DASA, S.A. DE C.V.",48FT/53FT,Diesel ,Redondo,"$20,000.00",22,2.55,$13.94,20,
Diciembre,2014,PL,CO,PUEBLA,RAMOS ARIZPE,"AUTOTRANSPORTES DASA, S.A. DE C.V.",48FT/53FT,Diesel ,Redondo,"$18,000.00",22,2.55,$13.94,18,
Diciembre,2014,PL,CO,PUEBLA,RAMOS ARIZPE,"AUTOTRANSPORTES DASA, S.A. DE C.V.",48FT/53FT,Diesel ,Redondo,"$17,560.00",22,2.55,$13.94,18,
Diciembre,2014,QO,CO,QUERETARO,RAMOS ARIZPE,"AUTOTRANSPORTES DASA, S.A. DE C.V.",48FT/53FT,Diesel ,Redondo,"$12,000.00",22,2.55,$13.94,12,
Diciembre,2014,QO,CO,QUERETARO,RAMOS ARIZPE,"AUTOTRANSPORTES DASA, S.A. DE C.V.",48FT/53FT,Diesel ,Redondo,"$14,000.00",22,2.55,$13.94,12,
Diciembre,2014,SP,CO,SAN LUIS POTOSI,RAMOS ARIZPE,"AUTOTRANSPORTES DASA, S.A. DE C.V.",48FT/53FT,Diesel ,Redondo,"$8,000.00",22,2.55,$13.94,8,
Diciembre,2014,CO,CO,TORREON,RAMOS ARIZPE,"AUTOTRANSPORTES DASA, S.A. DE C.V.",48FT/53FT,Diesel ,Redondo,"$7,030.00",22,2.55,$13.94,5,
Diciembre,2014,CO,CO,RAMOS ARIZPE,RAMOS ARIZPE,"AUTOTRANSPORTES DASA, S.A. DE C.V.",48FT/53FT,Diesel ,Redondo,"$1,000.00",22,2.55,$13.94,1,
Diciembre,2014,CO,CO,RAMOS ARIZPE,RAMOS ARIZPE,"AUTOTRANSPORTES DASA, S.A. DE C.V.",48FT/53FT,Diesel ,Redondo,"$1,500.00",22,2.55,$13.94,1,
Diciembre,2014,CO,CO,SALTILLO,RAMOS ARIZPE,"AUTOTRANSPORTES DASA, S.A. DE C.V.",48FT/53FT,Diesel ,Redondo,"$2,600.00",22,2.55,$13.94,1.5,
Diciembre,2014,CO,CO,RAMOS ARIZPE,RAMOS ARIZPE,"AUTOTRANSPORTES DASA, S.A. DE C.V.",48FT/53FT,Diesel ,Redondo,"$3,800.00",22,2.55,$13.94,1,
Diciembre,2014,PL,GT,PUEBLA,SILAO,"AUTOTRANSPORTES DASA, S.A. DE C.V.",48FT/53FT,Diesel ,Redondo,"$11,450.00",22,2.55,$13.94,8,
Diciembre,2014,PL,GT,PUEBLA,SILAO,"AUTOTRANSPORTES DASA, S.A. DE C.V.",48FT/53FT,Diesel ,Redondo,"$12,500.00",22,2.55,$13.94,8,
Diciembre,2014,GT,SP,SILAO,SAN LUIS POTOSI,"AUTOTRANSPORTES DASA, S.A. DE C.V.",48FT/53FT,Diesel ,Redondo,"$5,300.00",22,2.55,$13.94,4,
Diciembre,2014,QO,GT,QUERETARO,SILAO,"AUTOTRANSPORTES DASA, S.A. DE C.V.",48FT/53FT,Diesel ,Redondo,"$5,000.00",22,2.55,$13.94,4,
Diciembre,2014,CO,GT,RAMOS ARIZPE,SILAO,"AUTOTRANSPORTES DASA, S.A. DE C.V.",48FT/53FT,Diesel ,Redondo,"$13,050.00",22,2.55,$13.94,12,
Diciembre,2014,CO,GT,RAMOS ARIZPE,SILAO,"AUTOTRANSPORTES DASA, S.A. DE C.V.",48FT/53FT,Diesel ,Redondo,"$11,500.00",22,2.55,$13.94,12,
